number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory
51,2-7-2017,Meeting with the National Sheriffs' Association,"""The EPA -- you're right, I call it -- it's clogged the bloodstream of our country. People can't do anything. People are looking to get approvals for factories for 15 years, and then after the 15th year they get voted down after having spent a fortune.""","Environmental law experts say it would be extremely rare for a manufacturer to wait 15 years for an approval from the federal Environmental Protection Agency, if that even happens at all. ""Without any facts to back it up,"" said Maxine Lipeles, director of the Interdisciplinary Environmental Clinic at the law school at Washington University in St. Louis, Trump's statement is ""really kind of hard to believe. It could be that he found one case ... It would be very much an outlier."" Lipeles also noted that most permit-approval is done at the state level.",EPA approvals,no,https://www.youtube.com/watch?v=X-6NxvyqeZI,Economy,Environment,,,Informal remarks at events
52,2-7-2017,Meeting with the National Sheriffs' Association,"""As you know, I approved two pipelines that were stuck in limbo forever. I don't even think it was controversial. You know, I approved them. I haven't even heard. I haven't had had one call from anybody saying oh, that was a terrible thing you did. I haven't had one call.""","Trump's administration had indeed granted approval for the Dakota Access pipeline. But he had not approved the other pipeline, Keystone XL from Alberta. The executive order he signed in January merely invited TransCanada Corp. to reapply for approval, and directed his secretary of state to make a decision within 60 days of receiving this new application. So: it would have been accurate for Trump to say he advanced two pipelines, but not that he ""approved them.""",Keystone approval,Yes,https://www.youtube.com/watch?v=X-6NxvyqeZI,Pipelines,Energy,,,Informal remarks at events
53,2-7-2017,Meeting with the National Sheriffs' Association,"""The murder rate in our country's the highest it's been in 47 years, right? Did you know that? 47 years? I'd say that in a speech and everybody's surprised. Because the press doesn't tell it like it is. It wasn't to their advantage to say that.""","The homicide rate is not even close to a 47-year high. In fact, it remains near historic lows. There were 10 homicides per 100,000 residents in 1980, eight per 100,000 residents in 1995; in 2015, the latest year for which there is national data, it was five per 100,000 residents. Trump sometimes correctly notes that the increase in the homicide rate between 2014 and 2015 was the largest in more than 40 years. But that is far different than the actual rate being the highest.",Murder rate,no,https://www.youtube.com/watch?v=X-6NxvyqeZI,Crime,,,,Informal remarks at events
54,2-8-2017,Speech to the Major Cities Chiefs Association,"""I want you to turn in the bad ones. Call Secretary Kelly's representatives and we'll get them out of our country and bring them back where they came from, and we'll do it fast. You have to call up the federal government, Homeland Security, because so much of the problems -- you look at Chicago and you look at other places. So many of the problems are caused by gang members, many of whom are not even legally in our country.""","Trump has not presented any evidence whatsoever that illegal immigrants are responsible for much of Chicago's crime problem, and academic experts and local officials say Trump is wrong. ""I don't know anyone in Chicago who believes that,"" said Toni Preckwinkle, president of the Cook County board, according to CBS Chicago. ""Whether we are talking about African-American or Latino neighbourhoods, we are not talking about illegal immigrants. We are talking about our native-born sons and daughters.""",Chicago immigrants,no,https://www.youtube.com/watch?v=al8oX_LkfIM,Crime,Immigration,Chicago,,Speeches
55,2-9-2017,Twitter,"""Sen. Richard Blumenthal, who never fought in Vietnam when he said for years he had (major lie), now misrepresents what Judge Gorsuch told him?"" (Trump added out loud: ""His comments were misrepresented."")","Blumenthal accurately relayed the remarks of Trump's Supreme Court nominee Neil Gorsuch. Blumenthal told reporters that Gorsuch had described as ""demoralizing and disheartening"" Trump's attack on a judge who ruled against his travel ban. A spokesman for Gorsuch confirmed that Gorsuch used those precise words. The Gorsuch team later added a little bit of wiggle room, insisting he was ""not referring to any specific case,"" but reiterated the basic point: ""He said that he finds any criticism of a judge's integrity and independence disheartening and demoralizing.""",Blumenthal Gorsuch,no,https://twitter.com/realDonaldTrump/status/829660612452036608,Courts,Democrats,,,Twitter
56,2-9-2017,Twitter,"""Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave ""service"" in Vietnam. FAKE NEWS!""","Cuomo, a CNN host, began the interview by asking Blumenthal about this very subject. His first question: ""What is your response to the president of the United States saying you should not be believed because you misrepresented your military record in the past?"" While Cuomo may not have pressed Blumenthal as hard as Trump would have liked, he certainly did not ignore the matter.",Blumenthal questioned,no,https://twitter.com/realDonaldTrump/status/829681034564341760,Democrats,,,,Twitter
57,2-9-2017,Private meeting with senators about Supreme Court nominee Neil Gorsuch,"""The president claimed that he and (Republican former senator Kelly) Ayotte both would have been victorious in the Granite State if not for the 'thousands' of people who were 'brought in on buses' from neighbouring Massachusetts to 'illegally' vote in New Hampshire.""",Such fraud did not happen.,New Hampshire fraud,Yes,http://www.politico.com/story/2017/02/trump-voter-fraud-senators-meeting-234909,Voter fraud,Election,,,Informal remarks at events
58,2-10-2017,Twitter,"""The failing @nytimes does major FAKE NEWS China story saying ""Mr. Xi has not spoken to Mr. Trump since Nov. 14."" We spoke at length yesterday!""","Trump was wrong to suggest the Times made an error: this article was written before Trump's phone call with Xi. As soon as the call became known, the Times updated the article, online and in its late print edition, to include the details of the conversation. Trump may have been reacting to an earlier print edition, but this was not ""fake news,"" simply the news as it stood as of the newspaper's deadline.",NYT china error,no,https://twitter.com/realDonaldTrump/status/830047626414477312,Media,China,,,Twitter
59,2-12-2017,Twitter,"""While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!""","Sanders was not cut off by CNN, and he was mocking Trump's use of ""fake news"" to describe the network, not doing so himself. What actually happened: Sanders jokingly called CNN ""fake news,"" then added, ""It was a joke."" CNN host Erin Burnett said, ""I know it was a joke."" Sanders then lost his audio feed of Burnett's questions. Burnett announced they would go to commercial to get it sorted out. After the break, she continued the interview.",Sanders cut off,no,https://twitter.com/realDonaldTrump/status/830751875578355713,Democrats,Media,,,Twitter
60,2-12-2017,Twitter,"""Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!""","There were some supporters along the road, but they were far outnumbered by protesters, according to reporters on scene.",Florida lines,no,https://twitter.com/realDonaldTrump/status/830904083519242241,Exaggeration,Media,Crowds,Florida,Twitter
61,2-16-2017,"White House ""listening session"" with members of Congress","""Will anybody show up to that press conference? Historically, they didn't care about these things. For me, they show up.""","Obviously, journalists have always cared about presidential press conferences.",News conference interest,no,https://www.youtube.com/watch?v=thh92oLYm20,Media,,,,Informal remarks at events
